date,reportedEPS
2025-04-30,0.96
2025-01-31,0.89
2024-10-31,0.81
2024-07-31,0.68
2024-04-30,0.612
2024-01-31,0.516
2023-10-31,0.402
2023-07-31,0.27
2023-04-30,0.109
2023-01-31,0.088
2022-10-31,0.058
2022-07-31,0.051
2022-04-30,0.136
2022-01-31,0.132
2021-10-31,0.117
2021-07-31,0.104
2021-04-30,0.0915
2021-01-31,0.0775
2020-10-31,0.073
2020-07-31,0.055
2020-04-30,0.045
2020-01-31,0.0473
2019-10-31,0.045
2019-07-31,0.031
2019-04-30,0.022
2019-01-31,0.02
2018-10-31,0.046
2018-07-31,0.049
2018-04-30,0.051
2018-01-31,0.039
2017-10-31,0.033
2017-07-31,0.023
2017-04-30,0.02
2017-01-31,0.025
2016-10-31,0.021
2016-07-31,0.01
2016-04-30,0.008
2016-01-31,0.009
2015-10-31,0.011
2015-07-31,0.004
2015-04-30,0.006
2015-01-31,0.009
2014-10-31,0.008
2014-07-31,0.006
2014-04-30,0.006
2014-01-31,0.006
2013-10-31,0.005
2013-07-31,0.004
2013-04-30,0.0045
2013-01-31,0.007
2012-10-31,0.008
2012-07-31,0.006
2012-04-30,0.003
2012-01-31,0.005
2011-10-31,0.007
2011-07-31,0.006
2011-04-30,0.006
2011-01-31,0.006
2010-10-31,0.004
2010-07-31,0.001
2010-04-30,0.006
2010-01-31,0.006
2009-10-31,0.005
2009-07-31,0.002
2009-04-30,-0.002
2009-01-31,-0.004
2008-10-31,0.005
2008-07-31,0.003
2008-04-30,0.009
2008-01-31,0.012
2007-10-31,0.011
2007-07-31,0.009
2007-04-30,0.007
2007-01-31,0.009
2006-10-31,0.007
2006-07-31,0.0038
2006-04-30,0.005
2006-01-31,0.004
2005-10-31,0.004
2005-07-31,0.003
2005-04-30,0.006
2005-01-31,0.003
2004-10-31,0.002
2004-07-31,0.002
2004-04-30,0.002
2004-01-31,0.003
2003-10-31,0.001
2003-07-31,0.001
2003-04-30,0.001
2003-01-31,0.001
2002-10-31,0.001
2002-07-31,0.001
2002-04-30,0.004
2002-01-31,0.004
2001-10-31,0.002
2001-07-31,0.002
2001-04-30,0.002
2001-01-31,0.001
2000-10-31,0.001
2000-07-31,0.001
2000-04-30,0.001
2000-01-31,0.001
1999-10-31,0.001
1999-07-31,0.002
1999-04-30,0.002
